Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,MATH,142, ,001,"CALC II MGMT ECN","Butz, Edward",77,63.45,19.78,97,1,62,12,3,0,0,1,1,4,3,3,12,6,8,7,7,9,5,6,4,4,6
UBCO,2016,W,MATH,142, ,OVERALL,"CALC II MGMT ECN"," ",77,63.45,19.78,97,1,62,12,3,0,0,1,1,4,3,3,12,6,8,7,7,9,5,6,4,4,6
UBCO,2016,W,MATH,200, ,001,"CALCULUS 3","Hare, Warren",195,70.78,19.77,98,13,167,22,3,0,3,0,3,11,3,5,22,13,5,16,16,10,12,22,17,26,30
UBCO,2016,W,MATH,200, ,OVERALL,"CALCULUS 3"," ",198,70.78,19.77,98,13,167,22,6,0,3,0,3,11,3,5,22,13,5,16,16,10,12,22,17,26,30
UBCO,2016,W,MATH,220, ,001,"MATH PROOF","Bauschke, Heinz",58,83.85,11.56,100,54,55,0,3,0,0,0,0,0,0,0,0,1,1,1,3,1,6,7,4,13,18
UBCO,2016,W,MATH,220, ,OVERALL,"MATH PROOF"," ",61,83.85,11.56,100,54,55,0,6,0,0,0,0,0,0,0,0,1,1,1,3,1,6,7,4,13,18
UBCO,2016,W,MATH,221, ,001,"MATRIX ALGEBRA","Broughton, Wayne",66,67,17.61,93,13,54,10,0,0,2,0,1,1,2,6,10,5,5,2,7,8,6,5,5,5,6
UBCO,2016,W,MATH,221, ,101,"MATRIX ALGEBRA","Broughton, Wayne",130,71.8,15.18,99,25,118,10,0,0,2,0,0,1,1,8,10,5,11,13,10,12,9,12,18,12,16
UBCO,2016,W,MATH,221, ,OVERALL,"MATRIX ALGEBRA"," ",196,70.2,16.14,99,13,172,20,0,0,4,0,1,2,3,14,20,10,16,15,17,20,15,17,23,17,22
UBCO,2016,W,MATH,225, ,001,"DIFFRNTL EQUATNS","Tyson, Rebecca",83,67.06,23.42,99,3,61,20,2,0,0,2,3,2,3,10,20,1,1,5,6,8,9,6,4,6,15
UBCO,2016,W,MATH,225, ,OVERALL,"DIFFRNTL EQUATNS"," ",85,67.06,23.42,99,3,61,20,4,0,0,2,3,2,3,10,20,1,1,5,6,8,9,6,4,6,15
UBCO,2016,W,MATH,303, ,001,"NUMERICAL ANALYS","Wang, Shawn",20,86.06,11.21,100,52,17,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,4,3,8
UBCO,2016,W,MATH,303, ,OVERALL,"NUMERICAL ANALYS"," ",20,86.06,11.21,100,52,17,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,4,3,8
UBCO,2016,W,MATH,307, ,001,"APPL LINEAR ALGB","Broughton, Wayne",80,69.72,18.13,100,22,66,12,2,0,0,0,0,1,2,9,12,4,4,5,13,5,3,6,6,9,11
UBCO,2016,W,MATH,307, ,OVERALL,"APPL LINEAR ALGB"," ",80,69.72,18.13,100,22,66,12,2,0,0,0,0,1,2,9,12,4,4,5,13,5,3,6,6,9,11
